SD;MO;SC;SF;FC;Longname(german);Longname(english)
SD_VehFct;MO_DrvDmdDet;SC_DetnPedl;SF_DetnPedlSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_VehFct;MO_DrvDmdDet;SC_DetnPedl;SF_DetnPedlSwDsgn;VMD_Axispoints;Vehicle Motion Demand Stützstellen;Vehicle Motion Demand data set points
SD_VehFct;MO_DrvDmdDet;SC_DrvModDet;SF_DrvModDetSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_VehFct;MO_DrvDmdDet;SC_StrtDrvRdy;SF_StrtDrvRdySwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_VehFct;MO_DrvAsscSys;SC_DrvAssc;SF_DrvAsscSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_VehFct;MO_DrvAsscSys;SC_DrvAssc;SF_DrvAsscSwDsgn;ACCI_CalcReq;Adaptive Cruise Control Interface - ACCI Stützstellen;Adaptive Cruise Control Interface - ACCI data set points
SD_VehFct;MO_DrvAsscSys;SC_DrvAssc;SF_DrvAsscSwDsgn;CrCtl_Axispoints;Cruise Control - CrCtl Stützstellen;Cruise Control - CrCtl data set points
SD_VehFct;MO_DrvAsscSys;SC_DrvAssc;SF_DrvAsscSwDsgn;CrC_VDDsplTx;Koordinator für Display und Antriebsinformation;Coordinator the Display and Transmit information
SD_VehFct;MO_DrvAsscSys;SC_DrvAssc;SF_DrvAsscSwDsgn;LLim_Axispoints;Geschwindigkeitsbegrenzer - LLim Stützstellen;Longitudinal Limiter - data set points
SD_VehFct;MO_VehDataDetrm;SC_FieData;SF_FieDataSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_VehFct;MO_VehDataDetrm;SC_FieData;SF_FieDataSwDsgn;GlbDa_Axispoints;Global Data Stützstellen;Global Data axis points
SD_VehFct;MO_VehDataDetrm;SC_VehDataPrdn;SF_VehDataPrdnSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_VehFct;MO_VehDataDetrm;SC_ProVehData;SF_ProVehDataSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_VehFct;MO_VehDataDetrm;SC_VehStDetrm;SF_VehStDetrmSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_VehFct;MO_VehDataDetrm;SC_VehStDetrm;SF_VehStDetrmSwDsgn;VehDev_AdpPrj;Schnittstellenadapter (Zentral in Paket Adapter);Interfaceadapter (central to package adapter)
SD_VehFct;MO_VehDataDetrm;SC_DataNetCom;SF_DataNetComSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_VehFct;MO_VehSteer;SC_ServoSteer;SF_ServoSteerSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_VehFct;MO_VehBrkSys;SC_VacBrkBoost;SF_VacBrkBoostSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ThermoMngt;MO_ThermSensMdl;SC_ThermSens;SF_ThermSensSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ThermoMngt;MO_ThermSensMdl;SC_ThermSens;SF_ThermSensSwDsgn;DOTMCS;Quercheck Temperatursensoren;central diagnosis of temperature sensors at coldstart
SD_ThermoMngt;MO_ThermSensMdl;SC_ThermSens;SF_ThermSensSwDsgn;EngDa_TEng;Motortemperatur;Engine temperature
SD_ThermoMngt;MO_ThermSensMdl;SC_ThermSens;SF_ThermSensSwDsgn;TDev_Adpr;Adapter Funktion für Berrechnung der Komponents innerhalb BC TDev;Adapter Function for calculation of component within BC TDev
SD_ThermoMngt;MO_ThermSensMdl;SC_ThermSens;SF_ThermSensSwDsgn;TDev_Axispoints;Stützstellen für Temperatursensoren Motor;Temperature Sensors Engine Axispoints
SD_ThermoMngt;MO_ThermSensMdl;SC_ThermSens;SF_ThermSensSwDsgn;TDev_CrssChk;CrossCheck-Diagnose für TemperatureDevices;CrossCkeck-Diagnosis for TemperatureDevices
SD_ThermoMngt;MO_ThermSensMdl;SC_ActrSens;SF_ActrSensSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ThermoMngt;MO_ThermDmd;SC_EngCoolg;SF_EngCoolgSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ThermoMngt;MO_ThermDmd;SC_ElecCoolg;SF_ElecCoolgSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ThermoMngt;MO_ThermDmd;SC_ClimaVeh;SF_ClimaVehSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ThermoMngt;MO_ThermCoorn;SC_ThermEgyCoornVeh;SF_ThermEgyCoornVehSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ThermoMngt;MO_ThermCfg;SC_HeatDistbn;SF_HeatDistbnSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ThermoMngt;MO_ThermCfg;SC_ThermActtn;SF_ThermActtnSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ElecSply;MO_HvbSply;SC_HvbStorg;SF_HvbStorgSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ElecSply;MO_HvbSply;SC_HvbChrgr;SF_HvbChrgrSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
